2026-07-07 18:51:54,094 | INFO    | gesturesense.app | Configuration loaded from /home/arnavjaiswal/Documents/Fable/gesturesense/gesturesense/config/default_config.yaml
2026-07-07 18:51:54,770 | INFO    | matplotlib.font_manager | Failed to extract font properties from /usr/share/fonts/truetype/noto/NotoColorEmoji.ttf: Can not load face (unknown file format; error code 0x2)
2026-07-07 18:51:54,793 | INFO    | matplotlib.font_manager | generated new fontManager
2026-07-07 18:51:55,026 | INFO    | gesturesense.vision.hand_tracker | MediaPipe Tasks backend initialised (model=/home/arnavjaiswal/Documents/Fable/gesturesense/models/hand_landmarker.task, max_hands=2, det=0.60, trk=0.60); model_complexity is not used by this API
2026-07-07 18:51:55,027 | INFO    | gesturesense.core.application | GestureSense starting up
2026-07-07 18:51:55,027 | INFO    | gesturesense.camera.capture | Opening camera 0
2026-07-07 18:51:55,027 | INFO    | gesturesense.camera.capture | Camera thread started (device=0, 1280x720@30, mirror=True)
2026-07-07 18:51:55,027 | INFO    | gesturesense.core.pipeline | Inference thread started
2026-07-07 18:51:55,245 | INFO    | gesturesense.camera.capture | Camera negotiated resolution: 1280x720
2026-07-07 22:14:06,772 | INFO    | gesturesense.app | Configuration loaded from /home/arnavjaiswal/Documents/Fable/gesturesense/gesturesense/config/default_config.yaml
2026-07-07 22:14:07,272 | INFO    | gesturesense.vision.hand_tracker | MediaPipe Tasks backend initialised (model=/home/arnavjaiswal/Documents/Fable/gesturesense/models/hand_landmarker.task, max_hands=2, det=0.60, trk=0.60); model_complexity is not used by this API
2026-07-07 22:14:07,272 | INFO    | gesturesense.core.application | GestureSense starting up
2026-07-07 22:14:07,273 | INFO    | gesturesense.camera.capture | Opening camera 0
2026-07-07 22:14:07,273 | INFO    | gesturesense.camera.capture | Camera thread started (device=0, 1280x720@30, mirror=True)
2026-07-07 22:14:07,274 | INFO    | gesturesense.core.pipeline | Inference thread started
2026-07-07 22:14:07,489 | INFO    | gesturesense.camera.capture | Camera negotiated resolution: 1280x720
2026-07-07 22:14:37,273 | INFO    | gesturesense.core.application | FPS report — render: 60.2, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-07 22:15:07,280 | INFO    | gesturesense.core.application | FPS report — render: 60.0, camera: 10.0, inference: 10.1 (0.0 ms)
2026-07-07 22:15:37,288 | INFO    | gesturesense.core.application | FPS report — render: 60.2, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-07 22:16:07,302 | INFO    | gesturesense.core.application | FPS report — render: 59.9, camera: 10.0, inference: 10.1 (0.0 ms)
2026-07-07 22:16:38,824 | INFO    | gesturesense.core.application | FPS report — render: 3.9, camera: 3.0, inference: 10.1 (0.0 ms)
2026-07-07 22:16:47,649 | INFO    | gesturesense.core.application | Quit requested
2026-07-07 22:16:47,649 | INFO    | gesturesense.core.application | Shutting down…
2026-07-07 22:16:47,806 | INFO    | gesturesense.core.pipeline | Inference thread stopped
2026-07-07 22:16:47,890 | INFO    | gesturesense.camera.capture | Camera stopped
2026-07-07 22:16:47,894 | INFO    | gesturesense.ui.window | Window closed
2026-07-07 22:16:47,895 | INFO    | gesturesense.core.application | Shutdown complete
2026-07-07 22:22:08,370 | INFO    | gesturesense.app | Configuration loaded from /home/arnavjaiswal/Documents/Fable/gesturesense/gesturesense/config/default_config.yaml
2026-07-07 22:22:08,844 | INFO    | gesturesense.vision.hand_tracker | MediaPipe Tasks backend initialised (model=/home/arnavjaiswal/Documents/Fable/gesturesense/models/hand_landmarker.task, max_hands=2, det=0.60, trk=0.60); model_complexity is not used by this API
2026-07-07 22:22:08,844 | INFO    | gesturesense.core.application | GestureSense starting up
2026-07-07 22:22:08,845 | INFO    | gesturesense.camera.capture | Opening camera 0
2026-07-07 22:22:08,845 | INFO    | gesturesense.camera.capture | Camera thread started (device=0, 1280x720@30, mirror=False)
2026-07-07 22:22:08,845 | INFO    | gesturesense.core.pipeline | Inference thread started
2026-07-07 22:22:09,059 | INFO    | gesturesense.camera.capture | Camera negotiated resolution: 1280x720
2026-07-07 22:22:38,856 | INFO    | gesturesense.core.application | FPS report — render: 59.6, camera: 10.0, inference: 10.1 (0.0 ms)
2026-07-07 22:23:08,871 | INFO    | gesturesense.core.application | FPS report — render: 60.1, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-07 22:23:38,877 | INFO    | gesturesense.core.application | FPS report — render: 60.6, camera: 10.0, inference: 10.1 (0.0 ms)
2026-07-07 22:24:08,882 | INFO    | gesturesense.core.application | FPS report — render: 59.9, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-07 22:24:38,888 | INFO    | gesturesense.core.application | FPS report — render: 60.4, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-07 22:24:59,395 | INFO    | gesturesense.core.application | Quit requested
